DIALOG NAME,DIALOG PARENT NAME,Plant3D,PandID
P3DTagNewProjectAutogenerationProDLG,SelectDrawingAutogenerationPropertyDLG,NO,NO
P3DTagSelectClassPropertyDLG,P3DTagFormatSetupDLG,NO,NO
P3DTagSelectDrawingAutogenerationDLG,P3DTagDefineExpressionDLG,NO,NO
P3DTagSelectDrawingPropertyDLG,P3DTagFormatSetupDLG,NO,NO
P3DTagSelectProjectAutogenerationDLG,DefineExpressionDLG,NO,NO
P3DTagSelectProjectPropertyDLG,P3DTagFormatSetupDLG,NO,NO
PandIDValidationSettingsDLG,DataManagerDLG,NO,NO
PasswordErrorP3DDLG,ProjectSetupWizardSpecifyUnitSettingsDLG,NO,NO
PasswordSecurityDLG,PDFExportOptionsDLG,NO,NO
PathNameErrorDLG,ModifySharedContentFolderDLG,NO,NO
PDFExportOptionsDLG,ReportCreatorDLG,NO,NO
PermissionToDeleteFileErrorDLG,ReportConfigurationDLG,NO,NO
PermissionToSaveFileErrorDLG,ReportConfigurationDLG,NO,NO
PickPCFFileDLG,CreateIsoFromPCFDLG,NO,NO
PIDDWFOutputSettingsDLG,AppWnd,NO,NO
PIDLineListDLG,PIDLineListDLG,NO,NO
PIDLineSettingsDLG,ProjectSetupPIDLineDLG,NO,NO
PIDObjectMappingDLG,PIDObjectMappingDLG,NO,NO
PIDPublishOutputSettingsDLG,ProjectPublishOptionsDLG,NO,NO
Plant3DCatalogBuilderBrowseForFolderDLG,CreateCatalogTemplateDLG,NO,NO
Plant3DCatalogBuilderDLG,,NO,NO
Plant3DCatalogBuilderSelectScriptFileDLG,AutoCADPlant3DCatalogBuilderApplicationDLG,NO,NO
Plant3DConnJointDLG,Plant3DConnJointDLG,NO,NO
Plant3DDMCreateViewDLG,Plant3DDMCreateViewDLG,NO,NO
Plant3DDWFOutputSettingsDLG,ProjectPublishOptionsDLG,NO,NO
Plant3DNewExportImportSettingDLG,Plant3DNewExportImportSettingDLG,NO,NO
Plant3DPipingErrorDLG,,NO,NO
Plant3DShapeBrowserDLG,,NO,NO
PlantCreateReportDLG,AppWnd,No,NO
PlantCustomPartsDLG,,NO,NO
PlantNoProjectOpenDLG,AppWnd,NO,NO
PleaseenterauniquenameDLG,AutoPLANTToDMappingClassMappingDLG,No,NO
PleaseenteravalidnameDLG,AutoPLANTToDMappingClassMappingDLG,NO,NO
PMUConnectionSucceededDLG,PMUConvertProjectToSQLExpressDLG,NO,NO
PMUConvertProjectToSQLExpressDLG,PMUConvertProjectToSQLExpressDLG,NO,NO
PMUCopyProjectDatabaseDLG,PMUCopyProjectDatabaseDLG,NO,NO
PMUMoveProjectDatabaseDLG,PMUMoveProjectDatabaseDLG,NO,NO
PMUProjectFilesOpenDLG,ProjectMaintenanceUtilityDLG,NO,NO
PMUSQLServerInstanceErrorDLG,PMUConvertProjectToSQLExpressDLG,NO,NO
PreviewDLG,ReportCreatorDLG,NO,NO
PreviewFindDLG,PreviewDLG,NO,NO
PreviewInvalidXMLDataErrorDLG,PreviewDLG,NO,NO
PrintPreviewapplicationDLG,SpecEditorDLG,NO,NO
ProjectConversionFailedDLG,PMUConvertProjectToSQLExpressDLG,NO,NO
